STATE,STATENAME,POP10,E0_0_0y,SE_E0_0_0y,CI_low_E0_0_0y,CI_high_E0_0_0y,E0_1_4y,SE_E0_1_4y,CI_low_E0_1_4y,CI_high_E0_1_4y,E0_5_14y,SE_E0_5_14y,CI_low_E0_5_14y,CI_high_E0_5_14y,E0_15_24y,SE_E0_15_24y,CI_low_E0_15_24y,CI_high_E0_15_24y,E0_25_34y,SE_E0_25_34y,CI_low_E0_25_34y,CI_high_E0_25_34y,E0_35_44y,SE_E0_35_44y,CI_low_E0_35_44y,CI_high_E0_35_44y,E0_45_54y,SE_E0_45_54y,CI_low_E0_45_54y,CI_high_E0_45_54y,E0_55_64y,SE_E0_55_64y,CI_low_E0_55_64y,CI_high_E0_55_64y,E0_65_74y,SE_E0_65_74y,CI_low_E0_65_74y,CI_high_E0_65_74y,E0_75_84y,SE_E0_75_84y,CI_low_E0_75_84y,CI_high_E0_75_84y,E0_85_upy,SE_E0_85_upy,CI_low_E0_85_upy,CI_high_E0_85_upy
13,GA,8963472.0,77.06935066010135,0.012288068923218615,77.04526604501184,77.09343527519086,76.73082421633046,0.011971374884784362,76.70736032155628,76.75428811110464,72.86264999767945,0.011968097833060205,72.83919252592666,72.88610746943225,62.998404022459155,0.011970449891629596,62.97494194067156,63.02186610424675,53.492946974118965,0.011973171222599858,53.46947955852267,53.51641438971526,44.12889332392626,0.01199079603938379,44.10539136368907,44.152395284163454,34.89996111997672,0.012091346734744152,34.87626208037663,34.92366015957682,26.31884671475518,0.012407156789520387,26.29452868744772,26.343164742062637,18.56233482962852,0.01323279979570796,18.53639854202893,18.588271117228107,11.697949477613138,0.015235844387608248,11.668087222613426,11.72781173261285,6.4618554841249,0.02177627576894642,6.419173983617765,6.504536984632035
15,HI,1281850.0,81.40565261146001,0.04055331129373567,81.32616812132429,81.48513710159574,80.97609244451378,0.039331067589167525,80.89900355203902,81.05318133698854,77.07332425790851,0.03927537048096832,76.99634453176581,77.1503039840512,67.17974029722666,0.03914905065875315,67.1030081579355,67.25647243651781,57.60540936927097,0.039090276155988334,57.52879242800523,57.68202631053671,48.0770309318563,0.039124794864377,48.00034633392212,48.15371552979048,38.720287397121346,0.03931057826390724,38.64323866372409,38.7973361305186,29.904370792214372,0.040043091662794586,29.825886332555296,29.98285525187345,21.745791941334787,0.042196463176537684,21.663086873508774,21.8284970091608,14.38262386394664,0.0469990997389394,14.290505628458318,14.47474209943496,8.85365448375395,0.061734255243818495,8.732655343476065,8.974653624031834
16,ID,1540174.0,79.31890279929412,0.0158321925374539,79.28787170192071,79.34993389666754,78.85711406633277,0.015225120015110253,78.82727283110316,78.88695530156238,74.97206802608018,0.015213010096668266,74.9422505262907,75.00188552586965,65.0918818263391,0.015199497929968702,65.06209081039637,65.12167284228184,55.59754618633998,0.01515400278884393,55.56784434087385,55.62724803180612,46.11203682181364,0.015150686233361224,46.08234147679625,46.14173216683103,36.80387858774399,0.015175547250390267,36.77413451513322,36.833622660354756,27.96242424557225,0.015416507085449511,27.93220789168477,27.992640599459733,19.76891721324993,0.016168553682271377,19.73722684803268,19.800607578467183,12.46900655380496,0.018124361364384105,12.433482805530767,12.504530302079152,6.9054206213064235,0.02534916072897658,6.8557362662776296,6.9551049763352175
17,IL,16848716.0,78.89170857292626,0.005786097845456753,78.88036782114916,78.90304932470336,78.5182597593787,0.00557524252480973,78.50733228403007,78.52918723472732,74.62125103776455,0.005571032748471023,74.61033181357755,74.63217026195156,64.7381579284736,0.005568080284055302,64.72724449111685,64.74907136583035,55.223108740155624,0.00555046883665736,55.21222982123577,55.233987659075474,45.777249666977596,0.005540696913415851,45.7663899010273,45.78810943292789,36.40953532601535,0.005559737213629007,36.39863824107664,36.420432410954064,27.574428538055958,0.00566007681016795,27.56333478750803,27.585522288603887,19.451580334074123,0.005955362529595314,19.439907823516116,19.46325284463213,12.360950876019277,0.006704884811447122,12.34780930178884,12.374092450249714,6.968940286013487,0.009190057545009496,6.950927773225268,6.986952798801705
18,IN,6242446.0,77.41010868175711,0.008586498049753434,77.3932791455796,77.42693821793462,77.099070796928,0.008242132029176898,77.08291621815081,77.1152253757052,73.22580350715089,0.008231155544293371,73.20967044228406,73.2419365720177,63.360106727395,0.008222179011447475,63.34399125653256,63.37622219825744,53.8935650224287,0.00818411366867827,53.87752415963809,53.909605885219314,44.565316335936274,0.008153869554723435,44.54933475160902,44.58129792026353,35.35113796739291,0.008163676886791328,35.3351371606948,35.36713877409102,26.746576470184923,0.00830202235749564,26.73030450636423,26.762848434005615,18.90021735069875,0.008748531386380922,18.883070229181442,18.917364472216057,12.16359930065875,0.009913300716348085,12.14416923125471,12.183029370062792,7.145814573325906,0.013990146872719269,7.118393885455377,7.173235261196436
19,IA,2948788.0,79.35821079711393,0.01168901903789114,79.33530031979966,79.3811212744282,78.9022008024992,0.011412627044658483,78.87983205349167,78.92456955150672,75.01991190957098,0.011397106553901238,74.99757358072533,75.04225023841663,65.1549746200812,0.011386522630101498,65.13265703572621,65.1772922044362,55.64322589484222,0.011338479888501524,55.621002474260756,55.66544931542368,46.18255052584316,0.011309507594144275,46.16038389095864,46.20471716072768,36.86630039188983,0.011328708805004658,36.844096122632024,36.888504661147635,28.083178614400218,0.011509506522871275,28.06061998161539,28.105737247185047,19.97481921386007,0.012064918187706561,19.951171974212166,19.998466453507973,12.984053278838628,0.013486042152207072,12.957620636220302,13.010485921456954,7.741586712913916,0.018195959486921345,7.705922632319551,7.777250793508282
20,KS,2739612.0,78.42574371845355,0.013027510381686778,78.40020979810544,78.45127763880166,78.02355567138703,0.012756680709544485,77.99855257719632,78.04855876557774,74.14079482788075,0.012742564039045088,74.11581940236422,74.16577025339728,64.28257840891338,0.012721579442950229,64.2576441132052,64.30751270462156,54.78327905557429,0.012688499688188684,54.75840959618544,54.80814851496314,45.35683217185499,0.012674899406695878,45.33198936901787,45.38167497469211,36.091282342171084,0.01270622053183162,36.066378149928696,36.11618653441347,27.39840346005201,0.012929976250712653,27.37306070660061,27.423746213503406,19.405834767843036,0.013596816324084115,19.37918500784783,19.43248452783824,12.426637494652528,0.015298739999469095,12.396651964253568,12.456623025051488,7.103295758669476,0.020906424530425217,7.062319166589843,7.144272350749109
21,KY,4146291.0,75.93092633874467,0.012813499886517013,75.9058118789671,75.95604079852224,75.58253224387772,0.012291135938140029,75.55844161743897,75.60662287031647,71.73030872652208,0.012271483639463525,71.70625661858874,71.75436083445543,61.873588057374654,0.012258490504678247,61.849561415985484,61.897614698763824,52.418052423238024,0.01219223204917486,52.39415564842164,52.44194919805441,43.1926845221428,0.012123044755853577,43.168923354421324,43.21644568986427,34.15975733492897,0.01214500939339461,34.13595311651792,34.18356155334002,25.813084320420344,0.012404780387342522,25.788770950861153,25.837397689979536,18.202910746013725,0.013170853620980952,18.177095872916603,18.228725619110847,11.654563946428265,0.015182490474577348,11.624806265098094,11.684321627758436,6.8119028789826865,0.022246241142941776,6.768300246342521,6.8555055116228525
22,LA,4278947.0,75.85272026038182,0.012137889806568393,75.82892999636094,75.87651052440269,75.5790814188631,0.011686092174089285,75.55617667820188,75.60198615952432,71.73942166145082,0.011665355307881639,71.71655756504737,71.76228575785427,61.89267072015614,0.011658400289576033,61.86982025558857,61.91552118472371,52.51475521898261,0.01160652622195359,52.492006427587576,52.53750401037764,43.28853026223508,0.011597611315148863,43.26579894405739,43.31126158041277,34.28106372899687,0.011632193185234051,34.258264630353814,34.303862827639925,25.939183916042893,0.01189833097412299,25.915863187333613,25.962504644752173,18.402276681622837,0.012719578332141877,18.377346308091838,18.427207055153836,11.827175821528053,0.014817263801315827,11.798133984477474,11.856217658578633,6.8013462657985695,0.021256662561964658,6.759683207177119,6.84300932442002
23,ME,1145160.0,78.62522066785426,0.00010252765965838044,78.62501971364134,78.6254216220672,78.31510845646022,1.9655174325316563e-05,78.31506993231855,78.3151469806019,74.44802193579935,2.349117518111608e-05,74.44797589309599,74.4480679785027,64.57649786929339,6.519609799324505e-05,64.57637008494133,64.57662565364545,55.11262487338014,8.115322406876165e-05,55.112465813060965,55.11278393369932,45.75270678333159,9.764572024799318e-05,45.752515397719904,45.752898168943275,36.464071046840616,0.00013783454261166318,36.4638008911371,36.464341202544134,27.660590048552166,0.00020372045788530428,27.66019075645471,27.66098934064962,19.45752584791645,0.00041562081105784123,19.45671123112678,19.458340464706122,12.274326120367457,0.0009537365280872133,12.272456796772406,12.276195443962507,6.860644451430368,0.0010337274733094775,6.8586183455826815,6.862670557278055
